operation;value;success;time_ns;operations
delete;43112;true;3400;113
delete;64093;true;4000;193
delete;16363;true;56000;3295
delete;75439;true;42800;2491
delete;89293;true;20400;1785
delete;25385;true;2500;79
delete;64091;true;2400;191
delete;36057;true;2200;49
delete;59293;true;4500;259
delete;48600;true;5700;281
delete;63810;true;1900;147
delete;94833;true;38100;2969
delete;69780;true;68400;1315
delete;42340;true;7700;393
delete;25071;true;1700;81
delete;36008;true;800;41
delete;72348;true;19800;1801
delete;39101;true;2800;133
delete;78910;true;38600;3173
delete;80886;true;1000;47
delete;43481;true;3000;183
delete;48620;true;3500;287
delete;84589;true;9500;827
delete;7333;true;17700;1519
delete;34376;true;900;16
delete;12272;true;27600;2541
delete;42548;true;5300;449
delete;68563;true;12100;1077
delete;10977;true;24400;2259
delete;50839;true;11300;759
delete;46565;true;49700;767
delete;11705;true;26000;2407
delete;90655;true;24500;2063
delete;47946;true;2300;163
delete;27547;true;2200;69
delete;62671;true;13700;953
delete;71368;true;20100;1583
delete;3813;true;24800;783
delete;91836;true;25200;2295
delete;21267;true;53500;4303
delete;48661;true;4400;299
delete;7607;true;58600;1583
delete;39987;true;1600;87
delete;74663;true;29600;2303
delete;98459;true;46200;3701
delete;3667;true;9100;747
delete;56739;true;18000;1095
delete;30643;true;1800;75
delete;53832;true;6200;549
delete;770;true;2300;179
delete;57364;true;134800;1253
delete;14287;true;1268900;2913
delete;64250;true;10300;217
delete;690;true;3200;159
delete;55836;true;18900;923
delete;5692;true;17000;1187
delete;1745;true;3900;373
delete;602;true;1400;127
delete;54991;true;4013900;783
delete;65332;true;22700;407
delete;41491;true;6400;207
delete;59914;true;2400;379
delete;55489;true;3100;879
delete;46976;true;4800;835
delete;20219;true;18100;4081
delete;44122;true;900;281
delete;33856;true;1300;57
delete;95579;true;14900;3117
delete;29702;true;800;37
delete;22344;true;1000;93
delete;34999;true;900;39
delete;66208;true;1900;591
delete;7252;true;2800;1501
delete;17466;true;4800;3525
delete;75054;true;8800;2415
delete;68105;true;1600;987
delete;48208;true;1200;211
delete;45738;true;1300;623
delete;40855;true;500;101
delete;69785;true;1800;1321
delete;85080;true;1300;933
delete;94686;true;3400;2921
delete;40853;true;400;97
delete;84303;true;1100;767
delete;60057;true;1500;409
delete;82696;true;800;409
delete;31590;true;1300;131
delete;2679;true;1200;539
delete;56156;true;2600;977
delete;99758;true;7400;3949
delete;12366;true;4300;2563
delete;72479;true;2700;1853
delete;77689;true;5500;2963
delete;80726;true;5800;3505
delete;64079;true;700;185
delete;3619;true;1100;731
delete;73480;true;2800;2001
delete;8754;true;2400;1855
delete;79829;true;3700;3331
delete;85192;true;1500;947
delete;50503;true;2500;701
delete;5969;true;1700;1245
delete;81652;true;600;209
delete;80963;true;400;65
delete;36573;true;900;23
