operation;value;success;time_ns;operations
insert;77850;true;6500;454
insert;37049;true;6700;53
insert;45313;true;5700;112
insert;8750;true;4400;391
insert;54221;true;2500;149
insert;44318;true;4800;107
insert;82758;true;2100;260
insert;2219;true;1900;268
insert;24357;true;1000;36
insert;23051;true;1800;50
insert;50255;true;2800;145
insert;43420;true;18800;92
insert;71131;true;3900;319
insert;98203;true;8000;549
insert;5791;true;3600;341
insert;90054;true;4400;396
insert;4427;true;3000;312
insert;64381;true;1700;210
insert;80445;true;7500;507
insert;99836;true;8800;595
insert;58971;true;1800;107
insert;1629;true;1900;267
insert;63625;true;1400;196
insert;1304;true;1800;260
insert;37246;true;4700;57
insert;63021;true;3200;180
insert;135;true;1100;225
insert;40986;true;4800;63
insert;95436;true;7300;506
insert;13998;true;7000;504
insert;10092;true;5200;429
insert;76832;true;6000;441
insert;22825;true;1100;49
insert;42379;true;4800;81
insert;75985;true;6200;420
insert;32911;true;1300;36
insert;58128;true;1300;83
insert;91952;true;5400;443
insert;72320;true;4400;349
insert;81375;true;1600;236
insert;13484;true;6600;504
insert;7966;true;7200;401
insert;15514;true;6900;544
insert;92713;true;5900;469
insert;95697;true;496100;526
insert;63040;true;6000;186
insert;60548;true;2900;145
insert;74614;true;4300;396
insert;30345;true;1400;29
insert;4859;true;2700;343
insert;47192;true;1000;72
insert;69650;true;2600;313
insert;94328;true;4600;501
insert;98873;true;6300;588
insert;37900;true;1984500;66
insert;93238;true;12300;483
insert;56824;true;4400;180
insert;15754;true;10500;552
insert;51570;true;1900;89
insert;19757;true;9300;617
insert;80525;true;9100;528
insert;62530;true;2600;182
insert;62655;true;2700;185
insert;50448;true;3200;151
insert;52330;true;1600;106
insert;20385;true;8300;630
insert;98926;true;11300;594
insert;39839;true;2000;65
insert;56846;true;4000;189
insert;92173;true;7300;461
insert;34524;true;13800;46
insert;62218;true;3300;177
insert;10352;true;4900;443
insert;84315;true;3000;319
insert;11820;true;6300;486
insert;25055;true;1200;37
insert;7252;true;4300;395
insert;84036;true;3000;314
insert;89762;true;4900;417
insert;36198;true;12000;44
insert;72022;true;4700;356
insert;11349;true;5200;478
insert;55230;true;3100;181
insert;47817;true;1400;85
insert;46982;true;3700;126
insert;63044;true;3000;204
insert;91649;true;5500;452
insert;76778;true;10500;461
insert;39841;true;1500;62
insert;8883;true;4600;431
insert;57327;true;3000;210
insert;22839;true;1100;52
insert;25143;true;5500;59
insert;61702;true;4200;177
insert;26114;true;1100;40
insert;1322;true;1900;280
insert;49683;true;2600;142
insert;13609;true;6700;537
insert;88331;true;4700;395
insert;78698;true;7500;508
insert;23474;true;6700;53
insert;41344;true;3500;52
insert;94014;true;7300;522
insert;37669;true;4200;56
insert;20521;true;61900;654
insert;45385;true;2500;109
insert;15367;true;7100;571
insert;42947;true;1500;72
insert;99597;true;9300;635
insert;70625;true;4200;339
insert;61190;true;3000;168
insert;16192;true;7600;590
insert;55565;true;3200;187
insert;12615;true;6600;517
insert;15194;true;7500;568
insert;52087;true;1700;110
insert;43403;true;1700;81
insert;96527;true;7500;570
insert;62928;true;3300;205
insert;73942;true;5500;402
insert;91639;true;5500;459
insert;69251;true;3500;319
insert;43161;true;1500;80
insert;59792;true;2200;144
insert;71562;true;4100;352
insert;88199;true;4300;398
insert;66376;true;2600;269
insert;32158;true;1400;34
insert;52368;true;1800;119
insert;55350;true;3200;192
insert;62749;true;3500;207
insert;68028;true;3100;302
insert;54241;true;2700;173
insert;62485;true;15500;200
insert;61202;true;3100;179
insert;8237;true;5100;433
insert;35677;true;1200;36
insert;82162;true;2000;279
insert;67447;true;2700;281
insert;88249;true;4400;404
insert;946;true;1700;278
insert;83112;true;2500;305
insert;38459;true;1000;28
insert;43414;true;1700;87
insert;95806;true;7400;578
insert;24757;true;1000;40
insert;28097;true;1700;55
insert;49985;true;2600;151
insert;32670;true;1500;41
insert;24042;true;1100;37
insert;29205;true;1200;32
